29:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=9104257281632885582}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
30:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-4249322503294156332}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
31:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=2289345612992646906}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
32:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-655902882600871774}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
33:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-2044540894759377046}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
34:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=4102043748492580615}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
35:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-5323369885608026373}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
36:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=42770897304462539}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
37:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-6093085017496334742}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
38:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=9216091083710186100}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
39:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=2398464616921099621}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
40:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-5654193199088022020}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
41:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-4306562163320682401}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
42:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-7769548328013488445}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
43:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-81165984971538525}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
44:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-792515304255361849}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
45:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=2318591048083956651}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
46:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-4536763009779927279}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
47:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=2556647704202298034}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
48:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-2683533483595457166}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
49:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {-4381295738235606975=-1665115244185732216}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
50:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=4692308584260264303}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
51:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=3414032444746639780}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
52:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-3472806985646538119}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
53:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=4347230603352768127}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
54:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-6230370194948052639}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
55:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-5959788631412663265}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
56:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=2131727204877915914}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
57:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-419170171304295183}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
58:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=9014804683941579359}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
59:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=1637825757918541020}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
60:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=5469830378522923399}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
61:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-903080031961630830}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
62:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-5258835060658881961}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
63:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=5164243392749293608}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
64:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=8806262085137225224}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
65:source: SET_AUTHOR_AND_LIST_OF_TEXTS:4, stream: default, id: {6569794525250663861=-6905895941889047064}, [GEEZUSBITCH, [Haven't ate all day 😩😩😩]]
